First Name,Last Name,Gender,Age,City,State,Region,Order ID,Quantity of Goods,Price per Item,Order Date,Total Price,Payment Method,Payment ID,Category of Good,Name of Good,Rating of Good,Quantity of Reviews,Carrier,Shipment Date,Shipment Status,% of Discount,Discount Reason,Effective Price,Delivery Speed,Customer Type,Return Status,Last Purchase Date,Promo Code Used,Shipping Cost,City and State
Barbara,Davidson,Non-binary,47,Pueblo,Colorado,South,4a49af40-c7e9-4b01-904a-986286b08d84,9,171.88,17/03/2024,1546.92,Online,9441ed7a-4046-4023-88ef-45a78efea3d7,Books,Memoir,3.1928431419206857,60,FedEx,30/12/2024,Cancelled,50,Employee Discount,1163.59,Same Day,VIP,No,07/04/2024,No,552.73,"Pueblo, Colorado"
Joseph,Neal,Male,56,San Francisco,California,West,568bb311-01fb-486d-96bf-042ec0ab590a,9,345.72,14/04/2023,3111.48,Online,949990a8-44b0-48bc-998b-816a4e7e6a53,Toys,Board Game,1.527976264940477,205,DHL,18/02/2024,Returned,20,Seasonal Sale,1601.79,Standard,New,No,25/09/2024,Yes,1461.28,"San Francisco, California"
Mitchell,Russell,Non-binary,34,Roswell,Georgia,South,0ab169bc-ac00-46a7-b464-832bc2234265,3,91.7,28/02/2022,275.1,Online,166bb433-928f-4df5-9959-a653ec91ccc7,Electronics,TV,3.66433283504652,151,UPS,25/05/2022,Delivered,50,Employee Discount,185.09,Express,VIP,No,02/09/2024,Yes,1347.96,"Roswell, Georgia"
James,Woods,Non-binary,34,Oakland,California,North,98b51856-fa36-4988-88c2-7e23e562ac2f,10,267.44,18/12/2024,2674.4,Online,9fa6449f-faef-4750-b26c-de4efdc73f74,Electronics,Smartwatch,4.145501300836919,486,UPS,29/12/2024,Returned,50,Employee Discount,1415.56,Express,VIP,No,23/05/2024,Yes,1115.96,"Oakland, California"
Kayla,Wilkinson,Non-binary,34,Alexandria,Virginia,North,6717a6b0-5668-4805-ace4-d6b078e1e142,10,16.65,17/08/2023,166.5,Cash,980723be-32e2-4fb7-ac5a-fccb8b6e6f6c,Beauty,Serum,4.744289904071174,30,DHL,31/07/2024,In Transit,8,Discount Card,118.88,Standard,Returning,Yes,18/04/2024,Yes,438.17,"Alexandria, Virginia"
Karl,Mann,Male,32,Macon,Georgia,West,2eff98ad-8954-4a61-b850-c1011ffa7a06,1,467.98,08/06/2022,467.98,Cash,91a2e6e7-2501-44dd-9efa-34edcc2e7268,Toys,Kite,3.4551951622899915,41,DHL,19/08/2022,Cancelled,50,Employee Discount,327.87,Standard,VIP,Yes,22/11/2024,Yes,589.04,"Macon, Georgia"
Abigail,Hammond,Male,27,Ames,Iowa,South,c0d67ade-36d1-46f3-bc9d-919b0199f3dc,8,444.37,09/03/2022,3554.96,Online,229f025b-e24b-4b86-b81f-aa96d8e5dfff,Furniture,Chair,2.424988352570234,200,FedEx,29/03/2023,In Transit,25,Clearance Sale,2021.35,Same Day,VIP,Yes,07/03/2024,No,270.65,"Ames, Iowa"
Scott,Vasquez,Female,39,Bakersfield,California,West,1c6a62f7-cabc-41d5-9878-dbafc42b6174,8,77.52,11/10/2022,620.16,Online,fd908026-aaf4-42a7-9f41-dcbc756c1916,Clothing,T-Shirt,3.6771784992571033,383,UPS,11/08/2024,In Transit,50,Employee Discount,571.85,Same Day,New,Yes,07/02/2024,Yes,1490.94,"Bakersfield, California"
Eugene,Clark,Non-binary,26,Columbus,Georgia,South,7fe7b1a5-699f-414e-a714-2454194b69de,5,392.48,15/03/2024,1962.4,Card,b41547da-e9b3-46e3-a0da-822c0168c14c,Sports,Bat,3.904254330162452,60,FedEx,27/06/2024,Cancelled,15,Birthday,1034.18,Same Day,Returning,Yes,06/06/2024,Yes,1184.03,"Columbus, Georgia"
David,King,Non-binary,48,Buffalo,New York,East,7f9162cc-55e2-443e-aeeb-3ca1b2e64ee7,9,30.46,04/12/2022,274.14,Cash,9310c2f4-4d60-45c0-86f4-05766f235020,Electronics,Smartwatch,4.145501300836919,290,UPS,23/04/2023,Returned,8,Discount Card,211.72,Same Day,VIP,No,11/09/2024,Yes,804.5,"Buffalo, New York"
Lauren,Romero,Male,67,Scottsdale,Arizona,West,85f32303-6bee-49ab-9a50-6ef5867fabe3,3,45.42,02/06/2024,136.26,Card,6ef5fc6f-7ebc-4b0d-9edd-fc058c05766a,Furniture,Stool,3.979287393046109,37,DHL,22/06/2024,In Transit,15,Birthday,104.77,Same Day,New,Yes,30/03/2024,No,958.43,"Scottsdale, Arizona"
Daniel,Fisher,Female,23,Aurora,Colorado,North,e094b165-91b0-4e6c-89dd-1475c496add2,9,288.0,31/12/2022,2592.0,Online,77ed1924-6e74-4e8c-9c43-2a008064cdd9,Clothing,Skirt,4.285491432630304,56,FedEx,15/04/2024,Delivered,15,Birthday,1484.96,Same Day,Returning,No,07/06/2024,No,218.84,"Aurora, Colorado"
Nicholas,Miranda,Male,58,Cambridge,Massachusetts,West,8023058d-d686-4266-aa4a-c58bbd5c4676,1,170.71,01/06/2022,170.71,Card,30cfc900-495e-4a26-ae76-ea4c26f0fd8c,Beauty,Lotion,2.833312936774953,166,UPS,28/09/2022,In Transit,10,Coupon,149.87,Express,Returning,No,31/01/2024,No,1049.16,"Cambridge, Massachusetts"
Holly,Burton,Non-binary,57,Cincinnati,Ohio,North,8d4340bc-52b3-4dbd-b776-3763dd524854,10,73.02,26/01/2023,730.2,Card,e9940403-aee7-4867-9b30-a7afb36982fa,Furniture,Shelf,4.430551946980732,321,FedEx,08/06/2023,In Transit,50,Employee Discount,444.47,Standard,Returning,No,10/11/2024,No,968.24,"Cincinnati, Ohio"
Elizabeth,Fuller,Female,59,Tucson,Arizona,South,44c6a672-f988-475d-bd2e-039111060860,10,9.0,24/09/2023,90.0,Online,46d94c5e-21a8-4146-a174-801adb856752,Beauty,Lipstick,3.5716249805401583,336,DHL,03/02/2024,Returned,8,Discount Card,47.92,Same Day,VIP,Yes,15/06/2024,Yes,207.91,"Tucson, Arizona"
Matthew,Hill,Male,61,Hampton,Virginia,West,830bbab9-7f43-4214-9ca6-dea58e0a38f0,3,301.66,16/11/2023,904.98,Online,eaddc494-e752-42f3-874c-210be4d01ec7,Clothing,Socks,4.165264545266613,24,DHL,25/01/2024,Cancelled,8,Discount Card,749.87,Same Day,VIP,Yes,07/01/2024,No,878.41,"Hampton, Virginia"
Kyle,West,Male,62,Tampa,Florida,South,abe08e6e-09be-4d18-95a8-59a691dc08f6,2,331.73,19/08/2024,663.46,Card,5566c7f3-888e-4a4e-85c1-30e713a85a1b,Beauty,Soap,4.367231110476332,460,FedEx,26/12/2024,Returned,50,Employee Discount,379.17,Standard,New,Yes,26/07/2024,Yes,1093.61,"Tampa, Florida"
Mitchell,White,Non-binary,24,El Paso,Texas,South,d216612b-f39e-42fc-9874-87a9a27170a5,6,471.11,01/09/2023,2826.66,Card,7211ebd9-f69f-46c7-9949-6071a86445e7,Sports,Jersey,3.5334448174848903,377,UPS,28/12/2024,In Transit,20,Seasonal Sale,2127.91,Express,VIP,No,19/03/2024,Yes,679.32,"El Paso, Texas"
Tyler,Ellis,Non-binary,51,Everett,Washington,North,d9596228-a984-40af-823b-44635e8b5765,5,86.62,30/07/2023,433.1,Card,4edcb477-832d-492d-b713-753b61cb2cb5,Clothing,Jeans,1.9154402728037343,78,FedEx,18/05/2024,In Transit,8,Discount Card,343.06,Standard,New,Yes,16/07/2024,No,581.69,"Everett, Washington"
Christopher,Johnson,Non-binary,44,Alexandria,Virginia,East,0cd2025d-8877-45d4-95c4-d7c4e5ebc23d,1,123.66,01/10/2023,123.66,Online,997e1c98-5190-4c30-ad38-00bdf7800db6,Clothing,Shorts,2.1074596099362783,303,DHL,09/01/2024,Delivered,8,Discount Card,105.04,Same Day,New,No,08/09/2024,Yes,1177.14,"Alexandria, Virginia"
Kim,Hartman,Female,29,Fresno,California,West,eceebf11-bcd0-413f-84db-b76bc29768cf,4,69.51,25/01/2023,278.04,Online,21e00e36-ea27-4c76-8979-8a162368fd94,Furniture,Sofa,3.132730006409982,46,UPS,29/08/2023,Delivered,15,Birthday,170.97,Same Day,New,Yes,05/09/2024,Yes,350.81,"Fresno, California"
Heather,Young,Non-binary,58,Charlottesville,Virginia,North,e489237e-8c79-45c7-96b1-e53e7939ae89,8,471.0,10/03/2023,3768.0,Online,a5b89816-d7e4-4f23-a5d3-8973c79cd4d0,Furniture,Bench,3.537615866524479,278,DHL,08/02/2024,Delivered,15,Birthday,2703.16,Standard,Returning,Yes,10/12/2024,No,812.81,"Charlottesville, Virginia"
Matthew,Alvarado,Male,39,Everett,Washington,North,5b02bef8-9a06-4b59-b9dd-065542cf6769,6,487.77,25/07/2022,2926.62,Online,10093713-4e7c-4f05-8700-2de2f7b23e53,Clothing,Shorts,2.1074596099362783,216,FedEx,28/01/2023,Returned,10,Coupon,2483.53,Standard,VIP,No,18/06/2024,Yes,677.08,"Everett, Washington"
Joshua,Russell,Male,70,Winston-Salem,North Carolina,East,99d11159-ffbb-4134-a37a-da41a34caf3d,1,496.55,09/04/2024,496.55,Online,7c5ada6f-5b93-4dbd-a0b3-2f88aae3e125,Furniture,Wardrobe,3.4901582469824213,331,FedEx,06/12/2024,Returned,8,Discount Card,291.97,Same Day,VIP,No,22/02/2024,No,946.65,"Winston-Salem, North Carolina"
William,Meyers,Female,49,Sioux City,Iowa,North,a18c4b14-f18a-4795-860b-9d0043a0e90d,2,273.96,20/12/2024,547.92,Card,405f210f-d1f8-41a6-8fd0-fe9e57725b74,Furniture,Wardrobe,3.4901582469824213,320,DHL,02/01/2025,Delivered,50,Employee Discount,426.06,Same Day,VIP,No,14/06/2024,Yes,675.13,"Sioux City, Iowa"
Richard,Howard,Female,55,Bakersfield,California,North,94a21d52-17e6-4449-81e4-6183de808639,5,485.69,26/05/2022,2428.45,Card,2cd7608b-62ce-429c-a38f-22ea82afb14c,Clothing,Skirt,4.285491432630304,143,DHL,23/08/2024,Cancelled,10,Coupon,2221.3,Same Day,Returning,No,24/06/2024,No,313.39,"Bakersfield, California"
Jeremy,Curtis,Female,41,Ames,Iowa,North,aa67d8d0-90b3-4bc1-b190-21be8bedc135,2,187.96,14/01/2023,375.92,Online,0acfe890-d326-40d2-b354-d68a015ce252,Clothing,Shirt,4.178292767916446,268,UPS,30/12/2024,Delivered,50,Employee Discount,308.71,Express,New,No,28/06/2024,No,904.87,"Ames, Iowa"
Katherine,Bell,Non-binary,64,Everett,Washington,South,20919eb0-2f1b-435b-84c5-907491314c2c,10,275.12,16/04/2023,2751.2,Online,8ad50c61-5195-4779-b290-9a6c0a8fb4df,Clothing,Skirt,4.285491432630304,330,UPS,10/01/2024,Returned,50,Employee Discount,2114.57,Express,New,No,12/01/2024,No,1494.33,"Everett, Washington"
David,Greene,Male,30,Sioux City,Iowa,East,2a8e666c-5a78-431b-8138-000b450f88c1,6,87.73,18/01/2023,526.38,Online,8a63007b-f9de-403f-9882-b6f246395abb,Books,Guide,3.501951096076984,217,DHL,13/03/2023,Returned,15,Birthday,471.64,Express,VIP,Yes,12/07/2024,Yes,534.94,"Sioux City, Iowa"
Nicholas,Mccoy,Non-binary,18,Naperville,Illinois,East,1aaa6a40-877d-42e2-a84d-76990917393c,2,297.04,19/03/2023,594.08,Online,becd8ec9-f871-4cef-a6c4-dc7d974e51ec,Beauty,Perfume,4.48981981432217,94,FedEx,13/11/2023,Delivered,15,Birthday,306.9,Same Day,New,No,09/09/2024,No,541.82,"Naperville, Illinois"
Timothy,Snyder,Female,38,Philadelphia,Pennsylvania,East,3e023534-fa26-4d97-bdc7-2fdb98cdfdc3,1,116.63,12/06/2024,116.63,Card,37eb0234-e545-46ae-82b5-bc1173c480a1,Electronics,Laptop,4.310855500187097,164,DHL,19/11/2024,Cancelled,10,Coupon,100.42,Express,VIP,Yes,30/08/2024,No,74.93,"Philadelphia, Pennsylvania"
David,Martinez,Male,52,Fayetteville,North Carolina,North,42f446c5-b292-4ea2-b2e1-73d4ab0523dc,10,18.5,28/10/2023,185.0,Card,c6315ad2-19cf-4005-a32b-dd45b95e72fa,Furniture,Cabinet,3.468320656899428,183,FedEx,14/12/2024,Delivered,8,Discount Card,135.46,Express,New,Yes,22/12/2024,Yes,1448.27,"Fayetteville, North Carolina"
Kaitlin,Butler,Female,30,San Francisco,California,West,66b47345-70b8-437a-a15e-deca287a32d5,10,484.53,30/06/2024,4845.3,Online,472e2520-0902-4046-a34d-0f8e7d7aa67a,Electronics,Drone,4.028354980009399,271,DHL,24/12/2024,Delivered,8,Discount Card,2619.37,Standard,New,Yes,23/01/2024,Yes,1308.63,"San Francisco, California"
Jasmine,Beasley,Non-binary,54,Chicago,Illinois,South,1f58163b-381c-4980-9353-685ef8280cd3,9,278.78,30/12/2024,2509.02,Online,a04d110e-62cd-497c-881c-5b707b655e1b,Clothing,Sweater,1.5488156051731417,307,UPS,07/01/2025,In Transit,8,Discount Card,1812.52,Same Day,Returning,No,20/02/2024,Yes,779.87,"Chicago, Illinois"
Melissa,Tucker,Female,52,Dubuque,Iowa,North,f02ad7c9-da44-45d3-8f51-913ac5c71815,8,183.23,04/12/2024,1465.84,Cash,62b7470a-bfcc-4a1c-9503-31e719bb22bd,Furniture,Bed,3.5889080340637025,418,FedEx,09/01/2025,In Transit,50,Employee Discount,1226.61,Express,New,Yes,18/07/2024,No,1489.24,"Dubuque, Iowa"
John,Palmer,Female,60,Arlington,Virginia,North,6f4c57a6-c0c3-4002-96a1-f22e9cc78a4f,3,281.01,01/06/2022,843.03,Online,5d53e5e0-9b52-40e3-a696-14b05a495ddc,Books,Cookbook,3.1682762440519,299,FedEx,09/09/2023,In Transit,8,Discount Card,421.68,Same Day,New,No,25/10/2024,Yes,403.41,"Arlington, Virginia"
Nicholas,Sanchez,Non-binary,60,Hialeah,Florida,West,4dc188f5-f873-4fea-9b56-77c4374886ec,3,194.88,20/03/2024,584.64,Online,55393ebe-818d-49b3-90c6-730b6da3e0ef,Sports,Helmet,2.4676101390617213,481,FedEx,28/10/2024,Delivered,20,Seasonal Sale,526.12,Same Day,New,Yes,06/07/2024,Yes,1474.12,"Hialeah, Florida"
Justin,Reyes,Male,26,Orlando,Florida,East,ad951892-553c-47d5-bf3f-281d194c3d87,9,243.18,02/11/2022,2188.62,Online,04b66316-cf29-4c93-bab4-256c7f554475,Clothing,Dress,1.280859551090293,192,FedEx,14/03/2023,Returned,25,Clearance Sale,1132.83,Express,New,Yes,16/08/2024,Yes,214.76,"Orlando, Florida"
Anna,Hill,Male,69,Asheville,North Carolina,South,23588d32-fe59-47f4-a75d-622b2124025a,7,226.42,15/01/2023,1584.94,Online,379cb745-7186-4361-91c1-e6fac3b61d0a,Furniture,Shelf,4.430551946980732,138,FedEx,18/04/2023,Returned,10,Coupon,1427.4,Express,Returning,Yes,28/02/2024,No,1191.54,"Asheville, North Carolina"
Pamela,Barron,Non-binary,44,Virginia Beach,Virginia,South,64cfbfc1-0b2a-481f-8794-694d3bf99897,2,356.53,23/05/2023,713.06,Card,31a6380f-44f5-40fb-8bdd-02ef00bd7655,Beauty,Soap,4.367231110476332,151,UPS,06/10/2024,Delivered,8,Discount Card,405.66,Standard,VIP,Yes,04/05/2024,No,1274.43,"Virginia Beach, Virginia"
Justin,Cervantes,Non-binary,18,Boston,Massachusetts,North,ecb62117-8dfd-4e6d-95b8-366a973ce652,9,300.08,16/02/2022,2700.72,Online,ca4dfddc-6511-4546-9fa6-191dff10631a,Furniture,Cabinet,3.468320656899428,195,DHL,03/03/2024,Cancelled,15,Birthday,2142.75,Standard,New,No,31/12/2024,Yes,257.07,"Boston, Massachusetts"
Carolyn,Stewart,Male,45,Cary,North Carolina,South,042035c9-630d-495d-b679-c60a4ed28db2,10,263.59,01/10/2023,2635.9,Cash,1d29522a-76ee-4567-9f3c-6806eca1b375,Furniture,Shelf,4.430551946980732,0,FedEx,07/11/2024,Returned,8,Discount Card,1936.33,Same Day,VIP,No,30/08/2024,No,917.77,"Cary, North Carolina"
Kristy,Smith,Male,20,Brockton,Massachusetts,West,195de0f1-17c2-4a1a-8a9c-3786242230cd,1,55.09,30/10/2023,55.09,Online,25c81916-e866-4c82-8616-07b23a4d70c6,Electronics,Smartwatch,4.145501300836919,461,UPS,07/08/2024,Returned,15,Birthday,50.64,Express,VIP,Yes,06/02/2024,No,637.61,"Brockton, Massachusetts"
Diana,Ashley,Female,63,El Paso,Texas,West,a04d8b85-1bb5-4541-a1a4-3e7246cc7cf8,3,157.83,04/12/2023,473.49,Card,2f661d7b-4aec-4acb-9f70-d46233f8ef5a,Sports,Jersey,3.5334448174848903,220,UPS,20/09/2024,Delivered,15,Birthday,437.17,Express,Returning,Yes,29/08/2024,Yes,1284.51,"El Paso, Texas"
Diana,Ross,Female,39,Macon,Georgia,West,12b267d2-07bf-42f1-af8b-24d6107bd250,4,219.64,08/06/2024,878.56,Online,4e550e9d-62fa-40e4-9680-98d6132409d8,Electronics,TV,3.66433283504652,15,DHL,26/07/2024,Cancelled,8,Discount Card,608.05,Standard,Returning,Yes,13/11/2024,Yes,586.19,"Macon, Georgia"
Jessica,Baird,Female,21,Peoria,Illinois,East,f914b2eb-45cb-4819-9950-5a1c83258249,4,377.2,02/02/2022,1508.8,Online,2fc91d2f-a740-43e2-bf5e-5be07ebe99ec,Books,Journal,4.74730812579833,88,FedEx,22/05/2022,In Transit,50,Employee Discount,1308.73,Same Day,New,No,01/11/2024,No,1305.19,"Peoria, Illinois"
Diane,Leon,Non-binary,28,Orlando,Florida,South,23b1562c-168d-4174-803d-2d2fd15e1ecf,6,55.87,19/02/2023,335.22,Card,c414c12e-8733-4c30-9f0d-feddf6a92a69,Sports,Gloves,2.6605491140500352,266,FedEx,05/01/2025,Cancelled,20,Seasonal Sale,316.28,Express,VIP,No,03/01/2025,No,1166.02,"Orlando, Florida"
Monica,Mullins,Female,31,Bellevue,Washington,West,c1e617e4-40ac-4688-b55e-07df0e9d4e38,7,303.43,27/02/2023,2124.01,Online,c167842c-e300-4a38-9442-5e04fb1a705f,Toys,Yo-Yo,1.974620075041926,288,FedEx,08/09/2023,Delivered,8,Discount Card,1152.06,Standard,New,No,17/04/2024,No,41.64,"Bellevue, Washington"
Derek,Miller,Male,53,Ithaca,New York,West,58708dd7-9f89-4ed3-af01-6c9f204cb663,5,342.21,08/07/2022,1711.05,Online,3de20c98-c629-442f-ac45-337a0bde435a,Sports,Football,3.8476414942419286,41,UPS,19/06/2024,Returned,50,Employee Discount,1007.12,Standard,VIP,Yes,02/09/2024,No,1365.06,"Ithaca, New York"
Crystal,Aguilar,Male,29,Lynn,Massachusetts,North,801f7643-fb83-4eb5-b3ed-6195e1b4b55a,3,309.64,17/06/2022,928.92,Card,30507ab6-9887-40d8-97b3-f3dabd43967d,Books,Fantasy Book,2.541887731844636,426,FedEx,12/07/2024,Cancelled,8,Discount Card,465.11,Same Day,Returning,No,10/06/2024,No,528.54,"Lynn, Massachusetts"
Jonathan,Schmidt,Non-binary,69,Lynn,Massachusetts,North,94b5423f-9837-4adf-ba5d-21a967be31d7,6,469.18,20/09/2023,2815.08,Cash,10fdcd87-c2d6-40ad-9697-b2daffc88de4,Furniture,Chair,2.424988352570234,325,FedEx,19/12/2024,In Transit,20,Seasonal Sale,1613.32,Same Day,Returning,Yes,31/12/2024,Yes,1075.36,"Lynn, Massachusetts"
Austin,Harrell,Male,32,Mesa,Arizona,South,060f917d-43e9-4756-adad-fc92c2c8550e,4,336.18,07/08/2022,1344.72,Card,e51e5f12-f12e-40a1-ae7a-c22a18682345,Clothing,Shorts,2.1074596099362783,291,UPS,08/02/2023,Returned,8,Discount Card,744.71,Express,Returning,Yes,09/10/2024,No,639.16,"Mesa, Arizona"
David,Ramsey,Non-binary,40,Pittsburgh,Pennsylvania,West,7483ecc1-6153-45ae-8d41-7b32f7a9d1f6,4,325.11,19/11/2023,1300.44,Cash,123a72ee-1b46-440d-8bc6-4a77f926d2e7,Sports,Helmet,2.4676101390617213,30,FedEx,14/12/2023,Returned,25,Clearance Sale,1230.74,Same Day,VIP,Yes,12/11/2024,Yes,647.75,"Pittsburgh, Pennsylvania"
Melissa,Allen,Male,28,Naperville,Illinois,South,8b6d5d07-5bf6-4235-a607-ac7154c66759,8,137.92,30/03/2022,1103.36,Cash,0244cbda-17a1-41fb-8f45-450a805dbfe3,Books,Guide,3.501951096076984,466,DHL,19/05/2024,Delivered,8,Discount Card,892.62,Express,Returning,No,12/11/2024,No,1206.27,"Naperville, Illinois"
Harry,Hernandez,Non-binary,52,Aurora,Colorado,South,3bc8f432-293a-422b-aa85-1756a3ba4515,1,300.42,14/07/2024,300.42,Card,098a1047-0f3a-4a57-bde2-92179cff3b9e,Electronics,Tablet,1.516063142954867,141,DHL,28/12/2024,Cancelled,25,Clearance Sale,250.43,Express,New,No,22/03/2024,No,155.74,"Aurora, Colorado"
David,Baldwin,Female,45,Brockton,Massachusetts,East,a699e8af-1837-42f3-a8a2-e31820ba7a62,9,187.99,03/02/2024,1691.91,Online,06646303-381b-45d6-9e4b-1adc3d663d1a,Books,Biography,1.4628526313091756,252,FedEx,10/06/2024,Cancelled,10,Coupon,1435.42,Standard,New,Yes,14/06/2024,No,949.73,"Brockton, Massachusetts"
Vickie,Perkins,Non-binary,24,Naperville,Illinois,West,5362c055-9cce-4ccc-b75f-a83663344515,6,145.5,23/10/2022,873.0,Card,31a3be83-84d8-49a0-85a6-8b68c54e623e,Books,Cookbook,3.1682762440519,39,FedEx,21/01/2024,Returned,15,Birthday,603.59,Express,VIP,No,03/08/2024,No,390.49,"Naperville, Illinois"
Rhonda,Taylor,Non-binary,37,Everett,Washington,West,394e0840-f0c4-42ca-bd2c-eb94b432ebc3,3,106.18,28/02/2022,318.54,Online,e861b59e-8369-42af-a7a3-4a438913ca12,Beauty,Serum,4.744289904071174,0,UPS,10/03/2023,Returned,50,Employee Discount,226.74,Express,New,Yes,03/11/2024,No,1467.03,"Everett, Washington"
Elizabeth,Hill,Non-binary,35,Mesa,Arizona,North,b6df16e7-b057-4ab0-9f4f-fbfcf28e3ac5,2,382.39,19/06/2022,764.78,Card,2f90c9b0-b393-4617-bfaa-66099da4e44d,Furniture,Shelf,4.430551946980732,287,UPS,16/08/2022,Delivered,20,Seasonal Sale,656.33,Same Day,Returning,Yes,08/07/2024,Yes,118.14,"Mesa, Arizona"
Dana,Harris,Non-binary,54,Newton,Massachusetts,North,f1a30678-dfa5-42da-b51c-6f94433423de,7,203.82,29/09/2022,1426.74,Online,d5e18baf-d252-4c3a-b07a-f497261cb69c,Sports,Bat,3.904254330162452,3,DHL,29/08/2024,Returned,50,Employee Discount,1345.56,Standard,New,Yes,06/01/2024,No,524.08,"Newton, Massachusetts"
Anthony,Smith,Female,45,Youngstown,Ohio,East,c652c64f-187e-4804-ab30-fd97f81b1c08,7,156.29,20/06/2023,1094.03,Online,d486fdba-3b2c-4f5a-bede-883329ab6b90,Clothing,Dress,1.280859551090293,426,DHL,03/11/2024,Cancelled,50,Employee Discount,969.31,Standard,VIP,No,07/12/2024,Yes,1167.69,"Youngstown, Ohio"
Alexis,Woods,Female,26,Lynn,Massachusetts,West,d8152204-3296-410a-a471-b569edf053ec,5,194.68,06/08/2023,973.4,Card,f4b877fc-4c86-4ba5-9e3b-af41b8b29b92,Toys,Action Figure,4.671850955022057,166,FedEx,29/08/2024,Cancelled,25,Clearance Sale,879.76,Same Day,Returning,No,12/12/2024,No,454.04,"Lynn, Massachusetts"
